designation,l,b,parallax,phot_g_mean_mag,distance,Absolute_Mag,SIMBAD_ID,Spectral_Type,X,Y,Z,star_name
Gaia DR2 1210043543151367680,31.41575429,50.45151187,17.16,4.4591,58.27505828,,* iot Ser,A1V,31.6661431,19.34104954,44.93508208,Iota Serpentis
,95.74856001,-29.04492297,16.64,,60.09615385,,* bet Peg,M2.5II-III,-5.262408753,52.27420694,-29.17639543,Scheat (Beta Pegasi)
,127.1075879,-27.10282071,16.52,,60.53268765,,* bet And,M0+IIIa,-32.50992551,42.9739963,-27.57801044,Mirach (Beta Andromedae)
Gaia DR2 2408350860523978368,58.78603854,-66.08253494,15.3,5.0481,65.35947712,,*  97 Aqr,A3V,13.73223116,22.66214437,-59.74708604,97 Aquarii
,63.01673998,-3.002494564,14.71,,67.98096533,,*  16 Vul A,,30.80267174,60.49733657,-3.560804547,16 Vulpeculae A
,63.01674201,-3.002733294,14.71,,67.98096533,,*  16 Vul B,,30.80266286,60.49732444,-3.561087409,16 Vulpeculae B
,9.55591875,-12.43515675,14.32,,69.83240223,,* sig Sgr, ,67.24789866,11.32091946,-15.03733057,Nunki (Sigma Sagittarii)
,173.3159829,-45.59569258,13.09,,76.39419404,,* alf Cet,M1.5IIIa,-53.09099958,6.221745224,-54.57754606,Menkar (Alpha Ceti)
,316.1123475,50.84455481,13.06,,76.56967841,,* alf Vir,B1V,34.84451805,-33.51716886,59.37486509,Spica (Alpha Virginis)
,196.9278456,-15.95320119,12.92,,77.3993808,,* gam Ori,B2III,-71.19407195,-21.6682125,-21.27338327,Bellatrix (Gamma Orionis)
Gaia DR2 2232894437095139712,116.4187794,13.84166561,12.1458,6.7112,82.33298753,,* pi. Cep B,F3V,-35.56853028,71.5934104,19.69731144,Pi Cephei B
Gaia DR2 613339647904722432,223.5279862,44.19521584,11.81,6.378,84.67400508,,*  19 Leo,A7Vn,-44.01606084,-41.81056197,59.02669254,19 Leonis
,245.5651465,34.16949039,11.75,,85.10638298,,* gam Sex A,A1V,-29.12787495,-64.10835535,47.79939434,Gamma Sextantis A
,245.5652257,34.16964144,11.75,,85.10638298,,* gam Sex B,A4V,-29.12773421,-64.10828088,47.79957997,Gamma Sextantis B
,302.4622577,3.17958611,11.71,,85.3970965,,* bet Cru,B1IV,45.76581191,-71.94247024,4.736615491,Mimosa (Beta Crucis)
,347.1389243,-5.97573171,10.86,,92.08103131,,* tet Sco,F1III,89.28315276,-20.38474484,-9.586299508,Sargas (Theta Scorpii A)
,347.139327,-5.973979789,10.86,,92.08103131,,* tet Sco B,,89.28358175,-20.38418256,-9.58349926,Theta Scorpii B
Gaia DR2 6103094140452223872,322.7740042,16.6691349,10.67,2.2547,93.72071228,,* eta Cen,B2Ve,71.48965329,-54.3147413,26.88327099,Eta Centauri
Gaia DR2 2718603526867397504,84.23213771,-42.55381473,10.6,5.7364,94.33962264,,*  52 Peg,F0V,6.984082489,69.14273776,-63.80022575,52 Pegasi
,261.2121021,-25.29220544,10.55,,94.78672986,,* alf Car,A9II,-13.09307953,-84.69447171,-40.49619596,Canopus (Alpha Carinae)
,289.2719762,27.40633689,10.53,,94.96676163,,* bet Hya A,,27.82612474,-79.58370142,43.71300798,Beta Hydrae A
,289.2720252,27.40651313,10.53,,94.96676163,,* bet Hya B, ,27.82614842,-79.58355069,43.71326731,Beta Hydrae B
Gaia DR2 6679362821813065856,358.3382819,-34.43627497,10.47,5.589,95.51098376,,* kap02 Sgr,A5V,78.74009534,-2.284296351,-54.01043783,Kappa-2 Sagittarii
,138.4515534,-62.52249212,9.93,,100.7049345,,*  42 Cet B,A7IV:,-34.77440188,30.81825008,-89.34461526,42 Ceti B
Gaia DR2 3300128870245724032,183.5955792,-28.93563824,9.83,7.2103,101.7293998,,*  47 Tau B,A7V:,-88.85463432,-5.583376846,-49.2194133,47 Tauri B
,326.8569617,8.045936633,9.72,,102.8806584,,* mu01. Lup,B7V,85.29485075,-55.69435592,14.39989703,Mu-1 Lupi
,326.8568754,8.046233261,9.72,,102.8806584,,* mu02.Lup,B7V,85.29470444,-55.69444363,14.40042441,Mu-2 Lupi
Gaia DR2 5657043095060156416,259.8910232,19.05838708,9.61,4.5444,104.0582726,,* tet Ant,A7V+G8III,-17.26326947,-96.82757049,33.97830519,Theta Antliae
Gaia DR2 5769608209294672768,303.0132619,-22.2521741,9.27,5.5603,107.8748652,,* iot Oct,K0III,54.39668961,-83.72112547,-40.85045706,Iota Octantis
,172.6274552,41.63317506,9.1,,109.8901099,,* kap UMa,A1Vn,-81.45434059,10.53938425,73.00649307,Alkaphrah (Kappa Ursae Majoris A)
Gaia DR2 5588312348336552576,248.9786038,-6.66999781,9.05,4.4051,110.4972376,,* f Pup,B8IV/V,-39.36890835,-102.4451493,-12.8343271,f Puppis
,334.6134359,27.27613174,8.84,,113.1221719,,*  59 Hya A,,90.8349788,-43.10551845,51.84155371,59 Hydrae A
,334.6135044,27.27627473,8.84,,113.1221719,,*  59 Hya B,,90.83491345,-43.10535438,51.84180463,59 Hydrae B
Gaia DR2 1274286186493145728,49.68498559,54.71423225,8.69,5.3488,115.0747986,,* tet CrB,B6Vnne,43.00767634,50.68597909,93.93338372,Theta Coronae Borealis
Gaia DR2 418090121095577216,120.0511271,-8.239428334,8.64,4.5957,115.7407407,,* lam Cas,B8Vn,-57.36152024,99.1486403,-16.58680771,Lambda Cassiopeiae
Gaia DR2 1415230383033121024,79.57896485,33.31025588,8.58,2.3791,116.5501166,,* bet Dra,G2Ib-IIa,17.61809475,95.79535676,64.0061093,Rastaban (Beta Draconis)
,314.0687425,14.19250098,8.54,,117.0960187,,* zet Cen,B2.5IV,78.95689092,-81.56618403,28.70966045,Leepwal (Zeta Centauri)
,321.5357955,-15.25882552,8.35,,119.760479,,* alf TrA,K2III_Ba1,90.46631976,-71.86792657,-31.51854153,Atria (Alpha Trianguli Australis)
,311.7669621,1.25110442,8.32,,120.1923077,,* bet Cen A,B1III,80.04131111,-89.62528888,2.624297621,Hadar (Beta Centauri A)
,311.7667322,1.251016712,8.32,,120.1923077,,* bet Cen B,,80.04095416,-89.62561304,2.624113676,Beta Centauri B
,136.9645847,-18.55901423,8.3,,120.4819277,,* gam01 And,K2+IIb,-83.48444133,77.94703257,-38.34713907,Almach (Gamma Andromedae A)
