designation,l,b,parallax,phot_g_mean_mag,SIMBAD_ID,Spectral_Type,distance,adjusted_mag,X,Y,Z,interim_ID,Absolute_Mag,star_name
Gaia DR3 3648394677218755584,347.8034355189085,50.334787989049,40.081810451275416,12.705538749694824,LP  620-47,M4e,24.94897283184422,8.13430095323656,15.565494179437659,-3.364402022781505,19.20540120234662,LP 620-47,,
Gaia DR3 4732538568412966784,266.7919567130544,-50.138313262579,40.08248065545711,14.869344711303711,LEHPM 3383,,24.948555669392007,10.298190518676087,-0.8948516688207483,-15.965381385107344,-19.150359466799276,LEHPM 3383,,
Gaia DR3 113202246862254976,156.3183852681352,-30.67554242777489,40.08274545509837,13.213235855102539,LSPM J0256+2359,M5.0V,24.948390851126288,8.642114694208761,-19.650473619479737,8.61843535523718,-12.728066020346155,LSPM J0256+2359,,
Gaia DR3 4429874387730820608,15.076555703420146,42.77566273337158,40.08316780944293,15.460780143737793,LSPM J1550+0616,,24.948127971173392,10.889711667872772,17.682057033562522,4.763224111903179,16.94301166816781,LSPM J1550+0616,,
Gaia DR3 5807296719116951424,319.23930624594493,-14.456285422667687,40.0908064860784,20.69878387451172,,,24.943374495278654,16.12866816127643,18.294999123739025,-15.769930511472392,-6.22689569026479,,,
Gaia DR3 4320566164397463040,49.01537298180879,1.9621450799668083,40.091737677941836,20.408037185668945,,,24.942795147295207,15.838037606421818,16.34930280839927,18.817916330697074,0.8540213171143669,,,
Gaia DR3 2059314708223067904,71.19739665184572,2.7269657347654768,40.09815541011458,14.780174255371094,PM J19594+3454B,,24.938803038998508,10.21097499296432,8.028891110494193,23.58120048343092,1.186502555423249,PM J19594+3454B,,
Gaia DR3 2410011260521088512,53.74377309129262,-63.35201905147429,40.09954160924653,10.185815811157227,V* HK Aqr,M0Ve,24.93794093071155,5.616789396498406,6.614695286199081,9.01925034718107,-22.289006871309194,HK Aqr,,
Gaia DR3 577355999582711168,227.24778210930373,30.580663188648053,40.10259274246273,12.445852279663086,LP  546-51,M,24.936043572592936,7.877206295430756,-14.572957595107065,-15.763712480429714,12.686234461801865,LP 546-51,,
Gaia DR3 1638426776706401920,100.24955996917615,32.788898253625106,40.10344878533624,14.383637428283691,LP   43-519,,24.935511291129863,9.815098174524183,-3.729996482591206,20.62805550754436,13.503709696508986,LP 43-519,,
